tm_index,cold_target,cold_solve_time,cold_iterations,minhop_target,minhop_solve_time,minhop_iterations,loadbalance_target,loadbalance_solve_time,loadbalance_iterations,greedyqos_target,greedyqos_solve_time,greedyqos_iterations,minhop_improvement_pct,loadbalance_improvement_pct,greedyqos_improvement_pct
0,10394.838235,0.0715,2.0,10394.838235,0.0775,2.0,10394.838235,0.0787,2.0,10394.838235,0.0764,2.0,-8.40,-10.04,-6.75
1,10961.125000,0.0782,2.0,10961.125000,0.0679,2.0,10961.125000,0.0755,2.0,10961.125000,0.0884,2.0,13.22,3.46,-12.98
2,3637.851103,0.0704,3.0,3637.851103,0.0686,3.0,3637.851103,0.0968,3.0,3637.851103,0.0688,3.0,2.51,-37.46,2.20
3,4906.672794,0.0759,2.0,4906.672794,0.0681,2.0,4906.672794,0.0747,2.0,4906.672794,0.0787,2.0,10.29,1.59,-3.71
4,9709.764706,0.0762,4.0,9709.764706,0.0697,4.0,9709.764706,0.0838,4.0,9709.764706,0.0798,4.0,8.62,-9.94,-4.64
5,9517.834559,0.0684,1.0,9517.834559,0.1114,1.0,9517.834559,0.0772,1.0,9517.834559,0.1142,1.0,-62.82,-12.92,-66.98
6,23372.713235,0.0732,4.0,23372.713235,0.0711,4.0,23372.713235,0.0911,4.0,23372.713235,0.1078,4.0,2.87,-24.49,-47.20
7,11677.737132,0.0742,5.0,11677.737132,0.0681,5.0,11677.737132,0.0833,5.0,11677.737132,0.0979,5.0,8.24,-12.16,-31.92
8,12168.830882,0.0745,1.0,12168.830882,0.0762,1.0,12168.830882,0.0857,1.0,12168.830882,0.0835,1.0,-2.38,-15.14,-12.15
9,9338.981618,0.0737,3.0,9338.981618,0.0671,3.0,9338.981618,0.0758,3.0,9338.981618,0.0711,3.0,9.05,-2.84,3.56
10,16500.893382,0.0752,4.0,16500.893382,0.0683,4.0,16500.893382,0.0763,4.0,16500.893382,0.0882,4.0,9.14,-1.50,-17.34
11,12916.742647,0.0710,2.0,12916.742647,0.0655,2.0,12916.742647,0.0724,2.0,12916.742647,0.0899,2.0,7.81,-1.91,-26.63
12,1714.503676,0.0781,57.0,1714.503676,0.0732,57.0,1714.503676,0.0821,57.0,1714.503676,0.0794,57.0,6.34,-5.05,-1.65
13,146220.613971,0.0689,3.0,146220.613971,0.0666,3.0,146220.613971,0.0698,3.0,146220.613971,0.0844,3.0,3.24,-1.43,-22.58
14,10883.996324,0.0798,4.0,10883.996324,0.0743,4.0,10883.996324,0.0763,4.0,10883.996324,0.0768,4.0,6.87,4.40,3.75
15,8418.279412,0.0723,3.0,8418.279412,0.1060,3.0,8418.279412,0.0792,3.0,8418.279412,0.0724,3.0,-46.61,-9.45,-0.03
16,28086.591912,0.0703,2.0,28086.591912,0.0724,2.0,28086.591912,0.0717,2.0,28086.591912,0.0789,2.0,-3.01,-1.97,-12.20
17,17583.422794,0.0771,2.0,17583.422794,0.0906,2.0,17583.422794,0.0735,2.0,17583.422794,0.0813,2.0,-17.59,4.61,-5.49
18,10543.055147,0.0754,2.0,10543.055147,0.0780,2.0,10543.055147,0.0816,2.0,10543.055147,0.0835,2.0,-3.47,-8.24,-10.78
19,2077.613971,0.0776,3.0,2077.613971,0.0783,3.0,2077.613971,0.0733,3.0,2077.613971,0.0798,3.0,-0.92,5.54,-2.75
20,23419.253676,0.0761,3.0,23419.253676,0.0980,3.0,23419.253676,0.0717,3.0,23419.253676,0.0767,3.0,-28.79,5.78,-0.72
21,14548.283088,0.0779,2.0,14548.283088,0.0798,2.0,14548.283088,0.0752,2.0,14548.283088,0.0766,2.0,-2.44,3.38,1.69
22,2111.875000,0.0784,4.0,2111.875000,0.0995,4.0,2111.875000,0.0739,4.0,2111.875000,0.0798,4.0,-26.81,5.82,-1.70
23,18267.602941,0.0779,2.0,18267.602941,0.0783,2.0,18267.602941,0.0718,2.0,18267.602941,0.0765,2.0,-0.50,7.81,1.79
24,2271.680147,0.0757,6.0,2271.680147,0.0728,6.0,2271.680147,0.0734,6.0,2271.680147,0.0744,6.0,3.79,3.12,1.78
25,37594.577206,0.0692,6.0,37594.577206,0.0685,6.0,37594.577206,0.0687,6.0,37594.577206,0.0996,6.0,1.01,0.72,-43.96
26,9461.297794,0.0637,3.0,9461.297794,0.0662,3.0,9461.297794,0.0684,3.0,9461.297794,0.0829,3.0,-3.86,-7.32,-30.09
27,15015.540441,0.0710,2.0,15015.540441,0.0738,2.0,15015.540441,0.0726,2.0,15015.540441,0.0847,2.0,-3.99,-2.31,-19.29
28,3817.323529,0.0733,2.0,3817.323529,0.0740,2.0,3817.323529,0.0704,2.0,3817.323529,0.0986,2.0,-0.95,4.03,-34.42
29,1393.358456,0.0703,15.0,1393.358456,0.0667,15.0,1393.358456,0.0757,15.0,1393.358456,0.0911,15.0,5.08,-7.73,-29.54
30,12993.625000,0.0675,3.0,12993.625000,0.0720,3.0,12993.625000,0.0710,3.0,12993.625000,0.0752,3.0,-6.66,-5.13,-11.38
31,22865.790441,0.0695,3.0,22865.790441,0.0666,3.0,22865.790441,0.0686,3.0,22865.790441,0.0774,3.0,4.12,1.33,-11.39
32,1345.959559,0.0724,5.0,1345.959559,0.0826,5.0,1345.959559,0.0736,5.0,1345.959559,0.0818,5.0,-14.07,-1.59,-13.03
33,13290.797794,0.0638,3.0,13290.797794,0.0865,3.0,13290.797794,0.0748,3.0,13290.797794,0.0837,3.0,-35.57,-17.24,-31.09
34,4410.551471,0.0685,3.0,4410.551471,0.0812,3.0,4410.551471,0.0762,3.0,4410.551471,0.0786,3.0,-18.42,-11.19,-14.61
35,14319.676471,0.0675,4.0,14319.676471,0.0747,4.0,14319.676471,0.0957,4.0,14319.676471,0.0945,4.0,-10.59,-41.74,-39.92
36,20307.625000,0.0686,2.0,20307.625000,0.0817,2.0,20307.625000,0.0763,2.0,20307.625000,0.0898,2.0,-19.13,-11.27,-31.00
37,17159.941176,0.0726,2.0,17159.941176,0.0750,2.0,17159.941176,0.0741,2.0,17159.941176,0.0833,2.0,-3.32,-2.11,-14.84
38,10530.908088,0.0661,4.0,10530.908088,0.1310,4.0,10530.908088,0.0842,4.0,10530.908088,0.0781,4.0,-98.13,-27.31,-18.16
39,14284.658088,0.0711,2.0,14284.658088,0.0729,2.0,14284.658088,0.0765,2.0,14284.658088,0.0922,2.0,-2.47,-7.52,-29.60
40,2260.323529,0.0684,5.0,2260.323529,0.0819,5.0,2260.323529,0.0840,5.0,2260.323529,0.0807,5.0,-19.72,-22.88,-18.08
