tm_index,cold_target,cold_solve_time,cold_iterations,cold_bar_iterations,cold_simplex_iterations,warm_target,warm_solve_time,warm_iterations,warm_bar_iterations,warm_simplex_iterations,time_improvement_pct,iter_improvement_pct
0,44216.852941,0.0229,40.0,0,40.0,44216.852941,0.0209,40.0,0,40.0,8.68,0.00
1,37183.948529,0.0201,8.0,0,8.0,37183.948529,0.0199,8.0,0,8.0,1.11,0.00
2,334.022059,0.0194,41.0,0,41.0,334.022059,0.0232,41.0,0,41.0,-19.59,0.00
3,29454.136029,0.0192,38.0,0,38.0,29454.136029,0.0218,38.0,0,38.0,-13.89,0.00
4,48538.610294,0.0176,39.0,0,39.0,48538.610294,0.0212,39.0,0,39.0,-20.85,0.00
5,49682.408088,0.0185,39.0,0,39.0,49682.408088,0.0206,39.0,0,39.0,-11.87,0.00
6,1836.077206,0.0199,41.0,0,41.0,1836.077206,0.0253,41.0,0,41.0,-27.13,0.00
7,48284.977941,0.0186,37.0,0,37.0,48284.977941,0.0190,37.0,0,37.0,-1.92,0.00
8,77941.202206,0.0187,37.0,0,37.0,77941.202206,0.0237,37.0,0,37.0,-26.93,0.00
9,227.863971,0.0182,33.0,0,33.0,227.863971,0.0191,33.0,0,33.0,-5.42,0.00
10,1453.742647,0.0191,40.0,0,40.0,1453.742647,0.0218,40.0,0,40.0,-14.19,0.00
11,79900.389706,0.0191,37.0,0,37.0,79900.389706,0.0231,37.0,0,37.0,-20.54,0.00
12,2236.992647,0.0224,7.0,0,7.0,2236.992647,0.0220,7.0,0,7.0,1.86,0.00
13,46749.110294,0.0187,37.0,0,37.0,46749.110294,0.0214,37.0,0,37.0,-14.51,0.00
14,50714.547794,0.0188,31.0,0,31.0,50714.547794,0.0194,31.0,0,31.0,-2.98,0.00
15,47645.279412,0.0196,37.0,0,37.0,47645.279412,0.0237,37.0,0,37.0,-20.45,0.00
16,30105.915441,0.0203,32.0,0,32.0,30105.915441,0.0258,32.0,0,32.0,-27.11,0.00
17,37684.735294,0.0187,8.0,0,8.0,37684.735294,0.0192,8.0,0,8.0,-3.07,0.00
18,42881.639706,0.0191,37.0,0,37.0,42881.639706,0.0209,37.0,0,37.0,-9.83,0.00
19,1488.257353,0.0188,40.0,0,40.0,1488.257353,0.0186,40.0,0,40.0,0.82,0.00
20,1823.724265,0.0201,39.0,0,39.0,1823.724265,0.0214,39.0,0,39.0,-6.27,0.00
21,36507.518382,0.0186,8.0,0,8.0,36507.518382,0.0252,8.0,0,8.0,-35.53,0.00
22,937.286765,0.0233,40.0,0,40.0,937.286765,0.0279,40.0,0,40.0,-19.85,0.00
23,46555.838235,0.0204,38.0,0,38.0,46555.838235,0.0230,38.0,0,38.0,-12.60,0.00
24,51368.573529,0.0247,38.0,0,38.0,51368.573529,0.0250,38.0,0,38.0,-1.33,0.00
25,912.143382,0.0182,27.0,0,27.0,912.143382,0.0187,27.0,0,27.0,-2.78,0.00
26,28835.845588,0.0188,36.0,0,36.0,28835.845588,0.0213,36.0,0,36.0,-13.41,0.00
27,156.772059,0.0176,25.0,0,25.0,156.772059,0.0188,25.0,0,25.0,-6.77,0.00
