tm_index,cold_target,cold_solve_time,cold_iterations,minhop_target,minhop_solve_time,minhop_iterations,loadbalance_target,loadbalance_solve_time,loadbalance_iterations,greedyqos_target,greedyqos_solve_time,greedyqos_iterations,minhop_improvement_pct,loadbalance_improvement_pct,greedyqos_improvement_pct
0,10394.838235,0.0245,2.0,10394.838235,0.0215,2.0,10394.838235,0.0223,2.0,10394.838235,0.0222,2.0,12.35,8.91,9.65
1,11130.588235,0.0209,23.0,11130.588235,0.0191,23.0,11130.588235,0.0204,23.0,11130.588235,0.0210,23.0,8.21,2.00,-0.89
2,4858.797794,0.0183,45.0,4858.797794,0.0206,45.0,4858.797794,0.0202,45.0,4858.797794,0.0194,45.0,-12.01,-10.02,-5.61
3,6225.617647,0.0191,46.0,6225.617647,0.0206,46.0,6225.617647,0.0199,46.0,6225.617647,0.0190,46.0,-7.38,-4.14,1.03
4,13193.426471,0.0209,29.0,13193.426471,0.0204,29.0,13193.426471,0.0218,29.0,13193.426471,0.0205,29.0,2.25,-4.00,1.87
5,9517.834559,0.0199,2.0,9517.834559,0.0204,2.0,9517.834559,0.0210,2.0,9517.834559,0.0208,2.0,-2.21,-5.57,-4.40
6,23372.713235,0.0215,7.0,23372.713235,0.0214,7.0,23372.713235,0.0218,7.0,23372.713235,0.0199,7.0,0.35,-1.22,7.52
7,13099.970588,0.0214,23.0,13099.970588,0.0211,23.0,13099.970588,0.0211,23.0,13099.970588,0.0195,23.0,1.30,1.52,8.63
8,12168.830882,0.0193,5.0,12168.830882,0.0217,5.0,12168.830882,0.0201,5.0,12168.830882,0.0217,5.0,-12.62,-4.62,-12.51
9,12288.003676,0.0179,22.0,12288.003676,0.0201,22.0,12288.003676,0.0208,22.0,12288.003676,0.0212,22.0,-12.73,-16.47,-18.51
10,17221.036765,0.0210,33.0,17221.036765,0.0212,33.0,17221.036765,0.0226,33.0,17221.036765,0.0210,33.0,-0.86,-7.93,0.15
11,12962.985294,0.0183,23.0,12962.985294,0.0207,23.0,12962.985294,0.0201,23.0,12962.985294,0.0201,23.0,-13.16,-10.02,-9.63
12,2854.253676,0.0198,32.0,2854.253676,0.0211,32.0,2854.253676,0.0201,32.0,2854.253676,0.0282,32.0,-6.67,-1.57,-42.09
13,146220.613971,0.0195,3.0,146220.613971,0.0195,3.0,146220.613971,0.0210,3.0,146220.613971,0.0249,3.0,-0.01,-7.66,-27.58
14,11691.996324,0.0209,29.0,11691.996324,0.0206,29.0,11691.996324,0.0226,29.0,11691.996324,0.0210,29.0,1.10,-8.46,-0.65
15,10343.617647,0.0216,24.0,10343.617647,0.0210,24.0,10343.617647,0.0218,24.0,10343.617647,0.0225,24.0,2.48,-1.06,-4.19
16,28262.334559,0.0211,29.0,28262.334559,0.0224,29.0,28262.334559,0.0220,29.0,28262.334559,0.0235,29.0,-6.29,-4.37,-11.63
17,18331.323529,0.0212,21.0,18331.323529,0.0186,21.0,18331.323529,0.0207,21.0,18331.323529,0.0230,21.0,12.22,2.50,-8.25
18,10604.352941,0.0211,38.0,10604.352941,0.0205,38.0,10604.352941,0.0205,38.0,10604.352941,0.0207,38.0,2.61,2.85,1.82
19,2355.683824,0.0201,27.0,2355.683824,0.0193,27.0,2355.683824,0.0223,27.0,2355.683824,0.0219,27.0,4.27,-10.71,-8.68
20,24193.889706,0.0188,28.0,24193.889706,0.0189,28.0,24193.889706,0.0213,28.0,24193.889706,0.0206,28.0,-0.14,-13.06,-9.32
21,15334.761029,0.0201,28.0,15334.761029,0.0221,28.0,15334.761029,0.0206,28.0,15334.761029,0.0207,28.0,-10.02,-2.73,-3.37
22,2785.558824,0.0199,17.0,2785.558824,0.0209,17.0,2785.558824,0.0216,17.0,2785.558824,0.0295,17.0,-5.11,-8.28,-47.82
23,19026.705882,0.0212,35.0,19026.705882,0.0213,35.0,19026.705882,0.0218,35.0,19026.705882,0.0218,35.0,-0.34,-2.95,-2.68
24,2905.113971,0.0214,42.0,2905.113971,0.0220,42.0,2905.113971,0.0207,42.0,2905.113971,0.0215,42.0,-2.78,2.97,-0.77
25,37594.577206,0.0197,6.0,37594.577206,0.0210,6.0,37594.577206,0.0234,6.0,37594.577206,0.0210,6.0,-6.86,-18.93,-6.71
26,9461.297794,0.0191,3.0,9461.297794,0.0196,3.0,9461.297794,0.0222,3.0,9461.297794,0.0210,3.0,-2.61,-16.42,-10.29
27,15446.915441,0.0203,32.0,15446.915441,0.0195,32.0,15446.915441,0.0219,32.0,15446.915441,0.0209,32.0,4.12,-7.94,-3.00
28,4535.040441,0.0203,40.0,4535.040441,0.0201,40.0,4535.040441,0.0214,40.0,4535.040441,0.0253,40.0,1.18,-5.39,-24.41
29,2267.558824,0.0199,35.0,2267.558824,0.0201,35.0,2267.558824,0.0198,35.0,2267.558824,0.0208,35.0,-0.82,0.47,-4.49
30,14540.562500,0.0207,31.0,14540.562500,0.0199,31.0,14540.562500,0.0205,31.0,14540.562500,0.0227,31.0,3.72,0.67,-9.70
31,22865.790441,0.0178,3.0,22865.790441,0.0204,3.0,22865.790441,0.0206,3.0,22865.790441,0.0190,3.0,-14.56,-15.50,-6.50
32,1546.937500,0.0191,42.0,1546.937500,0.0206,42.0,1546.937500,0.0233,42.0,1546.937500,0.0191,42.0,-7.74,-21.73,-0.13
33,13290.797794,0.0199,3.0,13290.797794,0.0202,3.0,13290.797794,0.0220,3.0,13290.797794,0.0208,3.0,-1.56,-10.76,-4.61
34,4529.095588,0.0200,39.0,4529.095588,0.0218,39.0,4529.095588,0.0222,39.0,4529.095588,0.0204,39.0,-8.91,-10.87,-1.78
35,14799.746324,0.0195,32.0,14799.746324,0.0215,32.0,14799.746324,0.0282,32.0,14799.746324,0.0219,32.0,-9.76,-44.53,-12.07
36,24567.841912,0.0199,26.0,24567.841912,0.0202,26.0,24567.841912,0.0206,26.0,24567.841912,0.0214,26.0,-1.77,-3.88,-7.81
37,20115.863971,0.0206,25.0,20115.863971,0.0230,25.0,20115.863971,0.0221,25.0,20115.863971,0.0200,25.0,-11.65,-7.44,2.56
38,12587.279412,0.0204,30.0,12587.279412,0.0196,30.0,12587.279412,0.0205,30.0,12587.279412,0.0210,30.0,3.89,-0.58,-2.76
39,14659.812500,0.0188,23.0,14659.812500,0.0196,23.0,14659.812500,0.0210,23.0,14659.812500,0.0203,23.0,-4.23,-11.59,-7.82
40,2569.661765,0.0192,17.0,2569.661765,0.0204,17.0,2569.661765,0.0209,17.0,2569.661765,0.0217,17.0,-6.30,-8.86,-13.09
41,37350.625000,0.0182,3.0,37350.625000,0.0207,3.0,37350.625000,0.0202,3.0,37350.625000,0.0207,3.0,-13.60,-10.95,-13.90
42,11044.959559,0.0195,20.0,11044.959559,0.0208,20.0,11044.959559,0.0228,20.0,11044.959559,0.0207,20.0,-6.80,-16.86,-6.12
43,16527.426471,0.0201,3.0,16527.426471,0.0197,3.0,16527.426471,0.0208,3.0,16527.426471,0.0204,3.0,1.87,-3.16,-1.16
44,11133.485294,0.0203,3.0,11133.485294,0.0197,3.0,11133.485294,0.0187,3.0,11133.485294,0.0243,3.0,2.94,8.00,-19.83
45,26376.088235,0.0205,21.0,26376.088235,0.0215,21.0,26376.088235,0.0221,21.0,26376.088235,0.0212,21.0,-5.06,-8.09,-3.77
46,3045.011029,0.0186,23.0,3045.011029,0.0196,23.0,3045.011029,0.0215,23.0,3045.011029,0.0191,23.0,-5.60,-15.51,-2.51
47,19130.011029,0.0187,24.0,19130.011029,0.0195,24.0,19130.011029,0.0201,24.0,19130.011029,0.0210,24.0,-4.55,-7.77,-12.48
48,11439.459559,0.0194,3.0,11439.459559,0.0206,3.0,11439.459559,0.0211,3.0,11439.459559,0.0221,3.0,-5.99,-8.63,-13.71
49,10478.268382,0.0187,23.0,10478.268382,0.0195,23.0,10478.268382,0.0209,23.0,10478.268382,0.0211,23.0,-4.02,-11.66,-13.00
50,12597.036765,0.0196,21.0,12597.036765,0.0191,21.0,12597.036765,0.0209,21.0,12597.036765,0.0207,21.0,2.81,-6.42,-5.31
51,18981.544118,0.0246,2.0,18981.544118,0.0197,2.0,18981.544118,0.0212,2.0,18981.544118,0.0230,2.0,19.96,13.60,6.26
52,3710.863971,0.0190,4.0,3710.863971,0.0203,4.0,3710.863971,0.0189,4.0,3710.863971,0.0206,4.0,-6.83,0.47,-8.35
53,26940.911765,0.0197,16.0,26940.911765,0.0191,16.0,26940.911765,0.0206,16.0,26940.911765,0.0277,16.0,2.89,-4.62,-40.87
54,5933.566176,0.0211,4.0,5933.566176,0.0212,4.0,5933.566176,0.0222,4.0,5933.566176,0.0214,4.0,-0.59,-5.32,-1.28
55,39537.312500,0.0189,5.0,39537.312500,0.0190,5.0,39537.312500,0.0204,5.0,39537.312500,0.0202,5.0,-0.36,-7.94,-6.82
56,17092.713235,0.0186,26.0,17092.713235,0.0192,26.0,17092.713235,0.0216,26.0,17092.713235,0.0206,26.0,-3.09,-16.36,-10.94
57,32192.220588,0.0196,7.0,32192.220588,0.0207,7.0,32192.220588,0.0224,7.0,32192.220588,0.0257,7.0,-5.68,-14.31,-31.27
