tm_index,cold_target,cold_solve_time,cold_iterations,cold_bar_iterations,cold_simplex_iterations,warm_target,warm_solve_time,warm_iterations,warm_bar_iterations,warm_simplex_iterations,time_improvement_pct,iter_improvement_pct
461,54756.742647,0.0225,34.0,0,34.0,54756.742647,0.0220,34.0,0,34.0,2.15,0.00
462,1518.525735,0.0210,51.0,0,51.0,1518.525735,0.0210,51.0,0,51.0,-0.03,0.00
463,38705.029412,0.0247,19.0,0,19.0,38705.029412,0.0205,19.0,0,19.0,16.70,0.00
464,74645.352941,0.0272,34.0,0,34.0,74645.352941,0.0214,34.0,0,34.0,21.21,0.00
465,77554.091912,0.0189,26.0,0,26.0,77554.091912,0.0211,26.0,0,26.0,-11.24,0.00
466,40462.044118,0.0201,27.0,0,27.0,40462.044118,0.0209,27.0,0,27.0,-3.94,0.00
467,73905.220588,0.0208,34.0,0,34.0,73905.220588,0.0227,34.0,0,34.0,-9.00,0.00
468,42832.944853,0.0205,36.0,0,36.0,42832.944853,0.0210,36.0,0,36.0,-2.38,0.00
469,55432.540441,0.0219,31.0,0,31.0,55432.540441,0.0205,31.0,0,31.0,6.13,0.00
470,91041.830882,0.0201,34.0,0,34.0,91041.830882,0.0209,34.0,0,34.0,-4.01,0.00
471,37885.415441,0.0200,20.0,0,20.0,37885.415441,0.0211,20.0,0,20.0,-5.97,0.00
472,88337.805147,0.0192,36.0,0,36.0,88337.805147,0.0230,36.0,0,36.0,-19.87,0.00
473,63051.856618,0.0189,37.0,0,37.0,63051.856618,0.0205,37.0,0,37.0,-8.73,0.00
474,57238.375000,0.0210,33.0,0,33.0,57238.375000,0.0209,33.0,0,33.0,0.13,0.00
475,86141.742647,0.0206,36.0,0,36.0,86141.742647,0.0205,36.0,0,36.0,0.51,0.00
476,968.680147,0.0187,13.0,0,13.0,968.680147,0.0187,13.0,0,13.0,-0.29,0.00
477,74592.900735,0.0198,35.0,0,35.0,74592.900735,0.0210,35.0,0,35.0,-5.84,0.00
478,916.261029,0.0195,13.0,0,13.0,916.261029,0.0203,13.0,0,13.0,-4.33,0.00
479,1351.566176,0.0303,24.0,0,24.0,1351.566176,0.0191,24.0,0,24.0,37.05,0.00
480,1633.378676,0.0226,20.0,0,20.0,1633.378676,0.0214,20.0,0,20.0,5.25,0.00
481,183430.257353,0.0221,7.0,0,7.0,183430.257353,0.0205,7.0,0,7.0,7.20,0.00
482,76985.988971,0.0181,24.0,0,24.0,76985.988971,0.0199,24.0,0,24.0,-10.03,0.00
483,77363.915441,0.0235,37.0,0,37.0,77363.915441,0.0202,37.0,0,37.0,14.04,0.00
484,182994.338235,0.0184,7.0,0,7.0,182994.338235,0.0204,7.0,0,7.0,-10.60,0.00
485,86164.062500,0.0193,34.0,0,34.0,86164.062500,0.0208,34.0,0,34.0,-7.96,0.00
486,889.430147,0.0255,5.0,0,5.0,889.430147,0.0219,5.0,0,5.0,14.20,0.00
487,22868.731618,0.0236,20.0,0,20.0,22868.731618,0.0224,20.0,0,20.0,5.08,0.00
488,66174.444853,0.0201,35.0,0,35.0,66174.444853,0.0226,35.0,0,35.0,-12.82,0.00
489,385.235294,0.0195,31.0,0,31.0,385.235294,0.0221,31.0,0,31.0,-13.17,0.00
490,6063.091912,0.0211,5.0,0,5.0,6063.091912,0.0222,5.0,0,5.0,-5.24,0.00
491,33018.908088,0.0202,34.0,0,34.0,33018.908088,0.0198,34.0,0,34.0,2.00,0.00
492,1397.279412,0.0184,13.0,0,13.0,1397.279412,0.0196,13.0,0,13.0,-6.46,0.00
493,19666.591912,0.0180,17.0,0,17.0,19666.591912,0.0205,17.0,0,17.0,-13.47,0.00
494,40535.044118,0.0262,8.0,0,8.0,40535.044118,0.0205,8.0,0,8.0,21.90,0.00
495,60768.893382,0.0196,32.0,0,32.0,60768.893382,0.0217,32.0,0,32.0,-10.49,0.00
496,43028.959559,0.0254,36.0,0,36.0,43028.959559,0.0201,36.0,0,36.0,20.80,0.00
497,40736.268382,0.0193,8.0,0,8.0,40736.268382,0.0201,8.0,0,8.0,-4.55,0.00
498,69998.063725,0.0233,63.0,0,63.0,69998.063725,0.0233,63.0,0,63.0,-0.13,0.00
499,8882.194853,0.0219,6.0,0,6.0,8882.194853,0.0205,6.0,0,6.0,6.04,0.00
