tm_index,cold_target,cold_solve_time,cold_iterations,cold_bar_iterations,cold_simplex_iterations,warm_target,warm_solve_time,warm_iterations,warm_bar_iterations,warm_simplex_iterations,time_improvement_pct,iter_improvement_pct
229,2045.246324,0.0213,27.0,0,27.0,2045.246324,0.0205,27.0,0,27.0,3.63,0.00
230,76051.033088,0.0198,5.0,0,5.0,76051.033088,0.0215,5.0,0,5.0,-8.44,0.00
231,57253.753676,0.0258,34.0,0,34.0,57253.753676,0.0224,34.0,0,34.0,13.00,0.00
232,29657.128676,0.0218,33.0,0,33.0,29657.128676,0.0230,33.0,0,33.0,-5.77,0.00
233,56749.316176,0.0200,36.0,0,36.0,56749.316176,0.0222,36.0,0,36.0,-10.92,0.00
234,505.102941,0.0199,14.0,0,14.0,505.102941,0.0200,14.0,0,14.0,-0.62,0.00
235,63798.235294,0.0215,34.0,0,34.0,63798.235294,0.0215,34.0,0,34.0,-0.03,0.00
236,2462.433824,0.0203,4.0,0,4.0,2462.433824,0.0237,4.0,0,4.0,-16.53,0.00
237,949.018382,0.0213,24.0,0,24.0,949.018382,0.0224,24.0,0,24.0,-4.98,0.00
238,339.316176,0.0206,8.0,0,8.0,339.316176,0.0240,8.0,0,8.0,-16.03,0.00
239,66537.261029,0.0315,26.0,0,26.0,66537.261029,0.0228,26.0,0,26.0,27.69,0.00
240,72815.125000,0.0229,33.0,0,33.0,72815.125000,0.0235,33.0,0,33.0,-2.73,0.00
241,452.529412,0.0220,24.0,0,24.0,452.529412,0.0203,24.0,0,24.0,7.69,0.00
242,57724.069853,0.0222,34.0,0,34.0,57724.069853,0.0188,34.0,0,34.0,15.13,0.00
243,62995.301471,0.0223,34.0,0,34.0,62995.301471,0.0218,34.0,0,34.0,2.19,0.00
244,3496.544118,0.0214,22.0,0,22.0,3496.544118,0.0220,22.0,0,22.0,-2.67,0.00
245,713.750000,0.0205,20.0,0,20.0,713.750000,0.0218,20.0,0,20.0,-6.35,0.00
246,572.073529,0.0216,30.0,0,30.0,572.073529,0.0218,30.0,0,30.0,-0.99,0.00
247,60620.205882,0.0227,36.0,0,36.0,60620.205882,0.0238,36.0,0,36.0,-5.15,0.00
248,7659.419118,0.0227,23.0,0,23.0,7659.419118,0.0206,23.0,0,23.0,9.32,0.00
249,1351.871324,0.0208,29.0,0,29.0,1351.871324,0.0223,29.0,0,29.0,-7.33,0.00
250,60517.503676,0.0216,5.0,0,5.0,60517.503676,0.0222,5.0,0,5.0,-2.42,0.00
251,2192.959559,0.0204,14.0,0,14.0,2192.959559,0.0209,14.0,0,14.0,-2.42,0.00
252,1073.639706,0.0216,32.0,0,32.0,1073.639706,0.0220,32.0,0,32.0,-2.16,0.00
253,55641.694853,0.0206,5.0,0,5.0,55641.694853,0.0238,5.0,0,5.0,-15.71,0.00
254,1430.588235,0.0233,27.0,0,27.0,1430.588235,0.0186,27.0,0,27.0,19.81,0.00
255,70332.330882,0.0206,4.0,0,4.0,70332.330882,0.0205,4.0,0,4.0,0.57,0.00
256,39597.496324,0.0250,35.0,0,35.0,39597.496324,0.0221,35.0,0,35.0,11.92,0.00
257,56373.150735,0.0234,34.0,0,34.0,56373.150735,0.0202,34.0,0,34.0,13.59,0.00
258,59059.235294,0.0220,38.0,0,38.0,59059.235294,0.0206,38.0,0,38.0,6.56,0.00
259,769.158088,0.0223,37.0,0,37.0,769.158088,0.0191,37.0,0,37.0,14.56,0.00
260,1284.338235,0.0218,34.0,0,34.0,1284.338235,0.0196,34.0,0,34.0,10.21,0.00
261,1571.000000,0.0223,32.0,0,32.0,1571.000000,0.0201,32.0,0,32.0,9.56,0.00
262,1538.551471,0.0221,25.0,0,25.0,1538.551471,0.0217,25.0,0,25.0,1.80,0.00
263,592.279412,0.0212,33.0,0,33.0,592.279412,0.0212,33.0,0,33.0,0.14,0.00
264,1216.172794,0.0212,37.0,0,37.0,1216.172794,0.0200,37.0,0,37.0,5.57,0.00
265,1640.919118,0.0205,4.0,0,4.0,1640.919118,0.0209,4.0,0,4.0,-2.11,0.00
266,136.128676,0.0197,4.0,0,4.0,136.128676,0.0197,4.0,0,4.0,-0.21,0.00
267,12440.970588,0.0217,33.0,0,33.0,12440.970588,0.0193,33.0,0,33.0,10.74,0.00
268,1766.819853,0.0240,15.0,0,15.0,1766.819853,0.0205,15.0,0,15.0,14.38,0.00
269,51682.069853,0.0212,36.0,0,36.0,51682.069853,0.0215,36.0,0,36.0,-1.19,0.00
270,27813.400735,0.0265,35.0,0,35.0,27813.400735,0.0191,35.0,0,35.0,27.91,0.00
271,75052.569853,0.0284,33.0,0,33.0,75052.569853,0.0214,33.0,0,33.0,24.63,0.00
272,31659.915441,0.0196,27.0,0,27.0,31659.915441,0.0192,27.0,0,27.0,2.33,0.00
273,37063.613971,0.0223,29.0,0,29.0,37063.613971,0.0223,29.0,0,29.0,-0.38,0.00
274,73929.040441,0.0227,34.0,0,34.0,73929.040441,0.0235,34.0,0,34.0,-3.56,0.00
275,600.808824,0.0219,21.0,0,21.0,600.808824,0.0205,21.0,0,21.0,6.21,0.00
276,37002.525735,0.0246,29.0,0,29.0,37002.525735,0.0213,29.0,0,29.0,13.58,0.00
277,1752.069853,0.0230,27.0,0,27.0,1752.069853,0.0204,27.0,0,27.0,11.31,0.00
278,17757.816176,0.0335,35.0,0,35.0,17757.816176,0.0237,35.0,0,35.0,29.28,0.00
279,74941.441176,0.0279,36.0,0,36.0,74941.441176,0.0217,36.0,0,36.0,22.16,0.00
280,42848.165441,0.0309,32.0,0,32.0,42848.165441,0.0205,32.0,0,32.0,33.47,0.00
281,29654.496324,0.0247,3.0,0,3.0,29654.496324,0.0194,3.0,0,3.0,21.59,0.00
282,46760.194853,0.0242,33.0,0,33.0,46760.194853,0.0227,33.0,0,33.0,6.25,0.00
283,22780.863971,0.0237,35.0,0,35.0,22780.863971,0.0221,35.0,0,35.0,6.86,0.00
284,70840.077206,0.0239,32.0,0,32.0,70840.077206,0.0212,32.0,0,32.0,11.26,0.00
285,4209.496324,0.0203,34.0,0,34.0,4209.496324,0.0186,34.0,0,34.0,8.51,0.00
286,1005.044118,0.0202,31.0,0,31.0,1005.044118,0.0199,31.0,0,31.0,1.02,0.00
287,56686.113971,0.0211,26.0,0,26.0,56686.113971,0.0213,26.0,0,26.0,-1.05,0.00
288,499.492647,0.0203,27.0,0,27.0,499.492647,0.0272,27.0,0,27.0,-33.99,0.00
289,60983.231618,0.0238,5.0,0,5.0,60983.231618,0.0278,5.0,0,5.0,-16.95,0.00
290,1648.525735,0.0207,24.0,0,24.0,1648.525735,0.0282,24.0,0,24.0,-36.32,0.00
291,23018.378676,0.0210,29.0,0,29.0,23018.378676,0.0278,29.0,0,29.0,-32.12,0.00
292,6564.158088,0.0205,4.0,0,4.0,6564.158088,0.0228,4.0,0,4.0,-11.31,0.00
293,823.444853,0.0203,29.0,0,29.0,823.444853,0.0249,29.0,0,29.0,-22.60,0.00
294,39378.680147,0.0235,38.0,0,38.0,39378.680147,0.0243,38.0,0,38.0,-3.37,0.00
295,66978.889706,0.0251,37.0,0,37.0,66978.889706,0.0230,37.0,0,37.0,8.40,0.00
296,556.702206,0.0210,28.0,0,28.0,556.702206,0.0201,28.0,0,28.0,4.24,0.00
297,54446.731618,0.0212,35.0,0,35.0,54446.731618,0.0214,35.0,0,35.0,-0.83,0.00
298,5352.283088,0.0226,4.0,0,4.0,5352.283088,0.0216,4.0,0,4.0,4.44,0.00
299,940.849265,0.0236,30.0,0,30.0,940.849265,0.0206,30.0,0,30.0,12.78,0.00
