tm_index,cold_target,cold_solve_time,cold_iterations,minhop_target,minhop_solve_time,minhop_iterations,loadbalance_target,loadbalance_solve_time,loadbalance_iterations,greedyqos_target,greedyqos_solve_time,greedyqos_iterations,minhop_improvement_pct,loadbalance_improvement_pct,greedyqos_improvement_pct
0,10394.838235,0.0875,2.0,10394.838235,0.0828,2.0,10394.838235,0.1208,2.0,10394.838235,0.0865,2.0,5.33,-38.05,1.17
1,10961.125000,0.0924,2.0,10961.125000,0.0867,2.0,10961.125000,0.0877,2.0,10961.125000,0.1135,2.0,6.17,5.00,-22.92
2,3637.851103,0.0899,3.0,3637.851103,0.0918,3.0,3637.851103,0.0891,3.0,3637.851103,0.0903,3.0,-2.10,0.91,-0.50
3,4906.672794,0.0901,2.0,4906.672794,0.0870,2.0,4906.672794,0.0957,2.0,4906.672794,0.0935,2.0,3.42,-6.26,-3.77
4,9709.764706,0.0930,4.0,9709.764706,0.0905,4.0,9709.764706,0.0894,4.0,9709.764706,0.0958,4.0,2.74,3.92,-3.00
5,9517.834559,0.0892,1.0,9517.834559,0.0826,1.0,9517.834559,0.0860,1.0,9517.834559,0.0866,1.0,7.31,3.57,2.84
6,23372.713235,0.0937,2.0,23372.713235,0.0905,2.0,23372.713235,0.0970,2.0,23372.713235,0.0911,2.0,3.47,-3.54,2.82
7,11677.737132,0.0914,5.0,11677.737132,0.0821,5.0,11677.737132,0.0932,5.0,11677.737132,0.0913,5.0,10.19,-1.94,0.11
8,12168.830882,0.0889,1.0,12168.830882,0.0987,1.0,12168.830882,0.0858,1.0,12168.830882,0.1123,1.0,-11.02,3.50,-26.25
9,9338.981618,0.0897,3.0,9338.981618,0.0876,3.0,9338.981618,0.0900,3.0,9338.981618,0.1278,3.0,2.38,-0.29,-42.47
10,16500.893382,0.0932,4.0,16500.893382,0.0911,4.0,16500.893382,0.0918,4.0,16500.893382,0.0960,4.0,2.27,1.49,-3.07
11,12916.742647,0.0912,2.0,12916.742647,0.1242,2.0,12916.742647,0.0859,2.0,12916.742647,0.0864,2.0,-36.21,5.74,5.27
