tm_index,cold_target,cold_solve_time,cold_iterations,cold_bar_iterations,cold_simplex_iterations,warm_target,warm_solve_time,warm_iterations,warm_bar_iterations,warm_simplex_iterations,time_improvement_pct,iter_improvement_pct
0,10394.838235,0.0251,2.0,0,2.0,10394.838235,0.0211,2.0,0,2.0,15.90,0.00
1,11130.588235,0.0230,23.0,0,23.0,11130.588235,0.0205,23.0,0,23.0,11.01,0.00
2,4858.797794,0.0212,45.0,0,45.0,4858.797794,0.0198,45.0,0,45.0,6.67,0.00
3,6225.617647,0.0217,46.0,0,46.0,6225.617647,0.0227,46.0,0,46.0,-4.65,0.00
4,13193.426471,0.0228,29.0,0,29.0,13193.426471,0.0207,29.0,0,29.0,9.02,0.00
5,9517.834559,0.0230,2.0,0,2.0,9517.834559,0.0231,2.0,0,2.0,-0.20,0.00
6,23372.713235,0.0254,7.0,0,7.0,23372.713235,0.0226,7.0,0,7.0,11.00,0.00
7,13099.970588,0.0199,23.0,0,23.0,13099.970588,0.0223,23.0,0,23.0,-12.37,0.00
8,12168.830882,0.0211,5.0,0,5.0,12168.830882,0.0213,5.0,0,5.0,-1.33,0.00
9,12288.003676,0.0230,22.0,0,22.0,12288.003676,0.0206,22.0,0,22.0,10.55,0.00
10,17221.036765,0.0248,33.0,0,33.0,17221.036765,0.0217,33.0,0,33.0,12.57,0.00
11,12962.985294,0.0318,23.0,0,23.0,12962.985294,0.0210,23.0,0,23.0,34.09,0.00
12,2854.253676,0.0251,32.0,0,32.0,2854.253676,0.0220,32.0,0,32.0,12.30,0.00
13,146220.613971,0.0250,3.0,0,3.0,146220.613971,0.0199,3.0,0,3.0,20.34,0.00
14,11691.996324,0.0252,29.0,0,29.0,11691.996324,0.0212,29.0,0,29.0,15.85,0.00
15,10343.617647,0.0221,24.0,0,24.0,10343.617647,0.0213,24.0,0,24.0,3.69,0.00
16,28262.334559,0.0316,29.0,0,29.0,28262.334559,0.0231,29.0,0,29.0,26.74,0.00
17,18331.323529,0.0244,21.0,0,21.0,18331.323529,0.0210,21.0,0,21.0,14.20,0.00
18,10604.352941,0.0242,38.0,0,38.0,10604.352941,0.0228,38.0,0,38.0,5.88,0.00
19,2355.683824,0.0196,27.0,0,27.0,2355.683824,0.0194,27.0,0,27.0,0.84,0.00
20,24193.889706,0.0239,28.0,0,28.0,24193.889706,0.0212,28.0,0,28.0,11.27,0.00
21,15334.761029,0.0253,28.0,0,28.0,15334.761029,0.0212,28.0,0,28.0,16.21,0.00
22,2785.558824,0.0239,17.0,0,17.0,2785.558824,0.0219,17.0,0,17.0,8.10,0.00
23,19026.705882,0.0311,35.0,0,35.0,19026.705882,0.0236,35.0,0,35.0,23.92,0.00
24,2905.113971,0.0362,42.0,0,42.0,2905.113971,0.0206,42.0,0,42.0,42.97,0.00
25,37594.577206,0.0347,6.0,0,6.0,37594.577206,0.0214,6.0,0,6.0,38.44,0.00
26,9461.297794,0.0278,3.0,0,3.0,9461.297794,0.0196,3.0,0,3.0,29.39,0.00
27,15446.915441,0.0419,32.0,0,32.0,15446.915441,0.0215,32.0,0,32.0,48.63,0.00
28,4535.040441,0.0226,40.0,0,40.0,4535.040441,0.0218,40.0,0,40.0,3.80,0.00
29,2267.558824,0.0206,35.0,0,35.0,2267.558824,0.0210,35.0,0,35.0,-1.96,0.00
30,14540.562500,0.0202,31.0,0,31.0,14540.562500,0.0224,31.0,0,31.0,-10.75,0.00
31,22865.790441,0.0197,3.0,0,3.0,22865.790441,0.0211,3.0,0,3.0,-7.09,0.00
32,1546.937500,0.0211,42.0,0,42.0,1546.937500,0.0226,42.0,0,42.0,-7.04,0.00
33,13290.797794,0.0205,3.0,0,3.0,13290.797794,0.0208,3.0,0,3.0,-1.42,0.00
34,4529.095588,0.0212,39.0,0,39.0,4529.095588,0.0218,39.0,0,39.0,-3.01,0.00
35,14799.746324,0.0218,32.0,0,32.0,14799.746324,0.0200,32.0,0,32.0,8.08,0.00
36,24567.841912,0.0212,26.0,0,26.0,24567.841912,0.0210,26.0,0,26.0,0.91,0.00
37,20115.863971,0.0231,25.0,0,25.0,20115.863971,0.0212,25.0,0,25.0,8.15,0.00
38,12587.279412,0.0184,30.0,0,30.0,12587.279412,0.0226,30.0,0,30.0,-22.97,0.00
39,14659.812500,0.0173,23.0,0,23.0,14659.812500,0.0202,23.0,0,23.0,-16.84,0.00
40,2569.661765,0.0208,17.0,0,17.0,2569.661765,0.0210,17.0,0,17.0,-1.15,0.00
41,37350.625000,0.0190,3.0,0,3.0,37350.625000,0.0206,3.0,0,3.0,-8.64,0.00
42,11044.959559,0.0194,20.0,0,20.0,11044.959559,0.0207,20.0,0,20.0,-6.45,0.00
43,16527.426471,0.0211,3.0,0,3.0,16527.426471,0.0217,3.0,0,3.0,-3.01,0.00
44,11133.485294,0.0179,3.0,0,3.0,11133.485294,0.0193,3.0,0,3.0,-7.76,0.00
45,26376.088235,0.0211,21.0,0,21.0,26376.088235,0.0216,21.0,0,21.0,-2.14,0.00
46,3045.011029,0.0194,23.0,0,23.0,3045.011029,0.0211,23.0,0,23.0,-8.49,0.00
47,19130.011029,0.0191,24.0,0,24.0,19130.011029,0.0222,24.0,0,24.0,-16.25,0.00
48,11439.459559,0.0285,3.0,0,3.0,11439.459559,0.0210,3.0,0,3.0,26.28,0.00
49,10478.268382,0.0190,23.0,0,23.0,10478.268382,0.0226,23.0,0,23.0,-18.80,0.00
50,12597.036765,0.0206,21.0,0,21.0,12597.036765,0.0190,21.0,0,21.0,7.86,0.00
51,18981.544118,0.0208,2.0,0,2.0,18981.544118,0.0203,2.0,0,2.0,2.35,0.00
52,3710.863971,0.0178,4.0,0,4.0,3710.863971,0.0205,4.0,0,4.0,-14.85,0.00
53,26940.911765,0.0202,16.0,0,16.0,26940.911765,0.0195,16.0,0,16.0,3.57,0.00
54,5933.566176,0.0218,4.0,0,4.0,5933.566176,0.0219,4.0,0,4.0,-0.45,0.00
55,39537.312500,0.0196,5.0,0,5.0,39537.312500,0.0194,5.0,0,5.0,0.74,0.00
56,17092.713235,0.0189,26.0,0,26.0,17092.713235,0.0215,26.0,0,26.0,-13.31,0.00
57,32192.220588,0.0199,7.0,0,7.0,32192.220588,0.0211,7.0,0,7.0,-6.11,0.00
58,12157.397059,0.0207,3.0,0,3.0,12157.397059,0.0229,3.0,0,3.0,-11.02,0.00
59,15155.503676,0.0205,31.0,0,31.0,15155.503676,0.0224,31.0,0,31.0,-9.02,0.00
60,11915.198529,0.0204,2.0,0,2.0,11915.198529,0.0205,2.0,0,2.0,-0.50,0.00
61,12601.705882,0.0224,6.0,0,6.0,12601.705882,0.0232,6.0,0,6.0,-3.61,0.00
62,37375.099265,0.0197,6.0,0,6.0,37375.099265,0.0229,6.0,0,6.0,-16.14,0.00
63,13103.841912,0.0198,29.0,0,29.0,13103.841912,0.0219,29.0,0,29.0,-10.90,0.00
64,13335.496324,0.0181,3.0,0,3.0,13335.496324,0.0200,3.0,0,3.0,-10.25,0.00
65,13095.606618,0.0187,27.0,0,27.0,13095.606618,0.0211,27.0,0,27.0,-12.36,0.00
66,17280.852941,0.0185,27.0,0,27.0,17280.852941,0.0196,27.0,0,27.0,-5.87,0.00
67,25794.875000,0.0196,3.0,0,3.0,25794.875000,0.0227,3.0,0,3.0,-15.83,0.00
68,28117.886029,0.0200,6.0,0,6.0,28117.886029,0.0217,6.0,0,6.0,-8.55,0.00
69,11701.077206,0.0202,28.0,0,28.0,11701.077206,0.0205,28.0,0,28.0,-1.64,0.00
70,16361.882353,0.0198,26.0,0,26.0,16361.882353,0.0209,26.0,0,26.0,-5.74,0.00
71,17697.680147,0.0207,4.0,0,4.0,17697.680147,0.0215,4.0,0,4.0,-3.82,0.00
72,27050.636029,0.0236,6.0,0,6.0,27050.636029,0.0214,6.0,0,6.0,9.13,0.00
73,21302.036765,0.0221,33.0,0,33.0,21302.036765,0.0215,33.0,0,33.0,2.62,0.00
74,35137.176471,0.0216,16.0,0,16.0,35137.176471,0.0202,16.0,0,16.0,6.22,0.00
75,20240.786765,0.0198,30.0,0,30.0,20240.786765,0.0223,30.0,0,30.0,-12.69,0.00
76,16612.213235,0.0197,3.0,0,3.0,16612.213235,0.0209,3.0,0,3.0,-6.37,0.00
77,14685.764706,0.0212,3.0,0,3.0,14685.764706,0.0210,3.0,0,3.0,1.06,0.00
78,12852.775735,0.0212,29.0,0,29.0,12852.775735,0.0237,29.0,0,29.0,-11.65,0.00
79,14379.485294,0.0201,33.0,0,33.0,14379.485294,0.0216,33.0,0,33.0,-7.49,0.00
80,12896.382353,0.0186,3.0,0,3.0,12896.382353,0.0206,3.0,0,3.0,-10.92,0.00
81,14057.279412,0.0212,2.0,0,2.0,14057.279412,0.0207,2.0,0,2.0,2.29,0.00
82,31212.518382,0.0192,5.0,0,5.0,31212.518382,0.0223,5.0,0,5.0,-15.84,0.00
83,18758.433824,0.0243,6.0,0,6.0,18758.433824,0.0219,6.0,0,6.0,10.16,0.00
84,18625.169118,0.0212,31.0,0,31.0,18625.169118,0.0225,31.0,0,31.0,-6.02,0.00
85,13444.073529,0.0185,5.0,0,5.0,13444.073529,0.0203,5.0,0,5.0,-9.59,0.00
86,11813.694853,0.0200,3.0,0,3.0,11813.694853,0.0213,3.0,0,3.0,-6.33,0.00
87,16082.257353,0.0224,33.0,0,33.0,16082.257353,0.0221,33.0,0,33.0,1.23,0.00
88,16627.330882,0.0190,30.0,0,30.0,16627.330882,0.0213,30.0,0,30.0,-11.94,0.00
89,22874.555147,0.0202,30.0,0,30.0,22874.555147,0.0223,30.0,0,30.0,-10.76,0.00
90,6718.305147,0.0189,32.0,0,32.0,6718.305147,0.0206,32.0,0,32.0,-9.38,0.00
91,2155.007353,0.0239,31.0,0,31.0,2155.007353,0.0208,31.0,0,31.0,13.02,0.00
92,5703.194853,0.0213,21.0,0,21.0,5703.194853,0.0220,21.0,0,21.0,-2.95,0.00
93,9208.562500,0.0234,23.0,0,23.0,9208.562500,0.0210,23.0,0,23.0,10.38,0.00
94,20346.772059,0.0218,41.0,0,41.0,20346.772059,0.0203,41.0,0,41.0,6.66,0.00
95,4647.040441,0.0210,17.0,0,17.0,4647.040441,0.0239,17.0,0,17.0,-13.88,0.00
96,4351.382353,0.0194,21.0,0,21.0,4351.382353,0.0208,21.0,0,21.0,-7.37,0.00
97,5962.169118,0.0189,5.0,0,5.0,5962.169118,0.0223,5.0,0,5.0,-18.05,0.00
98,15801.904412,0.0197,28.0,0,28.0,15801.904412,0.0196,28.0,0,28.0,0.64,0.00
99,27924.591912,0.0210,6.0,0,6.0,27924.591912,0.0229,6.0,0,6.0,-8.88,0.00
100,3080.948529,0.0198,47.0,0,47.0,3080.948529,0.0248,47.0,0,47.0,-25.34,0.00
101,3115.433824,0.0209,42.0,0,42.0,3115.433824,0.0250,42.0,0,42.0,-19.59,0.00
102,6775.000000,0.0200,19.0,0,19.0,6775.000000,0.0213,19.0,0,19.0,-6.16,0.00
103,16470.724265,0.0213,7.0,0,7.0,16470.724265,0.0216,7.0,0,7.0,-1.35,0.00
104,6429.959559,0.0191,18.0,0,18.0,6429.959559,0.0217,18.0,0,18.0,-13.73,0.00
105,16692.426471,0.0185,23.0,0,23.0,16692.426471,0.0206,23.0,0,23.0,-10.98,0.00
106,5008.930147,0.0180,29.0,0,29.0,5008.930147,0.0218,29.0,0,29.0,-20.75,0.00
107,15681.371324,0.0205,26.0,0,26.0,15681.371324,0.0208,26.0,0,26.0,-1.68,0.00
108,26548.860294,0.0195,6.0,0,6.0,26548.860294,0.0214,6.0,0,6.0,-9.75,0.00
109,12898.000000,0.0185,20.0,0,20.0,12898.000000,0.0220,20.0,0,20.0,-18.54,0.00
110,3595.139706,0.0200,30.0,0,30.0,3595.139706,0.0213,30.0,0,30.0,-6.43,0.00
111,9254.672794,0.0205,5.0,0,5.0,9254.672794,0.0194,5.0,0,5.0,5.12,0.00
112,8274.617647,0.0192,31.0,0,31.0,8274.617647,0.0209,31.0,0,31.0,-8.90,0.00
113,24179.286765,0.0191,2.0,0,2.0,24179.286765,0.0210,2.0,0,2.0,-9.60,0.00
114,11624.533088,0.0199,28.0,0,28.0,11624.533088,0.0210,28.0,0,28.0,-5.19,0.00
115,10256.625000,0.0205,29.0,0,29.0,10256.625000,0.0210,29.0,0,29.0,-2.27,0.00
116,7223.750000,0.0191,19.0,0,19.0,7223.750000,0.0210,19.0,0,19.0,-10.34,0.00
117,2716.448529,0.0203,37.0,0,37.0,2716.448529,0.0207,37.0,0,37.0,-2.08,0.00
118,16254.040441,0.0190,28.0,0,28.0,16254.040441,0.0212,28.0,0,28.0,-11.52,0.00
119,2929.250000,0.0187,28.0,0,28.0,2929.250000,0.0216,28.0,0,28.0,-15.17,0.00
120,2756.996324,0.0190,45.0,0,45.0,2756.996324,0.0211,45.0,0,45.0,-11.04,0.00
121,18938.257353,0.0192,30.0,0,30.0,18938.257353,0.0209,30.0,0,30.0,-8.68,0.00
122,11197.205882,0.0212,6.0,0,6.0,11197.205882,0.0211,6.0,0,6.0,0.61,0.00
123,19619.540441,0.0204,29.0,0,29.0,19619.540441,0.0208,29.0,0,29.0,-2.08,0.00
124,18261.676471,0.0189,23.0,0,23.0,18261.676471,0.0200,23.0,0,23.0,-5.88,0.00
125,27547.007353,0.0179,6.0,0,6.0,27547.007353,0.0213,6.0,0,6.0,-18.72,0.00
126,6981.988971,0.0215,41.0,0,41.0,6981.988971,0.0222,41.0,0,41.0,-3.30,0.00
127,1517.341912,0.0230,50.0,0,50.0,1517.341912,0.0210,50.0,0,50.0,8.40,0.00
128,12948.948529,0.0194,44.0,0,44.0,12948.948529,0.0212,44.0,0,44.0,-9.26,0.00
129,9681.253676,0.0200,28.0,0,28.0,9681.253676,0.0211,28.0,0,28.0,-5.47,0.00
130,29137.077206,0.0199,18.0,0,18.0,29137.077206,0.0250,18.0,0,18.0,-25.71,0.00
131,11231.044118,0.0203,30.0,0,30.0,11231.044118,0.0203,30.0,0,30.0,0.08,0.00
132,26832.566176,0.0210,42.0,0,42.0,26832.566176,0.0213,42.0,0,42.0,-1.21,0.00
133,5186.161765,0.0191,18.0,0,18.0,5186.161765,0.0205,18.0,0,18.0,-7.01,0.00
134,24594.886029,0.0193,21.0,0,21.0,24594.886029,0.0222,21.0,0,21.0,-15.05,0.00
135,17252.558824,0.0196,33.0,0,33.0,17252.558824,0.0200,33.0,0,33.0,-2.20,0.00
136,24498.183824,0.0202,7.0,0,7.0,24498.183824,0.0225,7.0,0,7.0,-10.93,0.00
137,23024.422794,0.0220,29.0,0,29.0,23024.422794,0.0212,29.0,0,29.0,3.53,0.00
138,23517.797794,0.0180,3.0,0,3.0,23517.797794,0.0216,3.0,0,3.0,-19.80,0.00
139,26826.948529,0.0193,32.0,0,32.0,26826.948529,0.0200,32.0,0,32.0,-3.64,0.00
140,38235.408088,0.0197,28.0,0,28.0,38235.408088,0.0230,28.0,0,28.0,-16.42,0.00
141,31576.224265,0.0212,33.0,0,33.0,31576.224265,0.0208,33.0,0,33.0,1.82,0.00
142,24488.606618,0.0189,39.0,0,39.0,24488.606618,0.0219,39.0,0,39.0,-15.94,0.00
143,11354.522059,0.0194,32.0,0,32.0,11354.522059,0.0212,32.0,0,32.0,-9.30,0.00
144,20646.882353,0.0190,33.0,0,33.0,20646.882353,0.0217,33.0,0,33.0,-14.40,0.00
145,33057.062500,0.0211,6.0,0,6.0,33057.062500,0.0220,6.0,0,6.0,-4.33,0.00
146,15558.154412,0.0202,40.0,0,40.0,15558.154412,0.0205,40.0,0,40.0,-1.24,0.00
147,8376.091912,0.0196,31.0,0,31.0,8376.091912,0.0207,31.0,0,31.0,-5.53,0.00
148,9718.397059,0.0194,17.0,0,17.0,9718.397059,0.0207,17.0,0,17.0,-6.83,0.00
149,5876.268382,0.0194,31.0,0,31.0,5876.268382,0.0211,31.0,0,31.0,-8.87,0.00
150,19881.301471,0.0204,2.0,0,2.0,19881.301471,0.0217,2.0,0,2.0,-6.41,0.00
