tm_index,cold_target,cold_solve_time,cold_iterations,minhop_target,minhop_solve_time,minhop_iterations,loadbalance_target,loadbalance_solve_time,loadbalance_iterations,greedyqos_target,greedyqos_solve_time,greedyqos_iterations,minhop_improvement_pct,loadbalance_improvement_pct,greedyqos_improvement_pct
110,3595.139706,0.0185,30.0,3595.139706,0.0200,30.0,3595.139706,0.0275,30.0,3595.139706,0.0211,30.0,-8.19,-48.79,-14.22
111,9254.672794,0.0206,5.0,9254.672794,0.0217,5.0,9254.672794,0.0231,5.0,9254.672794,0.0223,5.0,-5.32,-12.01,-8.54
112,8274.617647,0.0193,31.0,8274.617647,0.0222,31.0,8274.617647,0.0334,31.0,8274.617647,0.0214,31.0,-15.37,-73.39,-11.16
113,24179.286765,0.0222,2.0,24179.286765,0.0208,2.0,24179.286765,0.0258,2.0,24179.286765,0.0226,2.0,6.35,-16.15,-1.44
114,11624.533088,0.0215,28.0,11624.533088,0.0199,28.0,11624.533088,0.0244,28.0,11624.533088,0.0224,28.0,7.14,-13.54,-4.32
115,10256.625000,0.0230,29.0,10256.625000,0.0212,29.0,10256.625000,0.0261,29.0,10256.625000,0.0231,29.0,7.77,-13.88,-0.72
116,7223.750000,0.0193,19.0,7223.750000,0.0232,19.0,7223.750000,0.0220,19.0,7223.750000,0.0227,19.0,-20.49,-14.21,-17.90
117,2716.448529,0.0194,37.0,2716.448529,0.0348,37.0,2716.448529,0.0221,37.0,2716.448529,0.0222,37.0,-79.17,-14.05,-14.58
118,16254.040441,0.0181,28.0,16254.040441,0.0246,28.0,16254.040441,0.0219,28.0,16254.040441,0.0222,28.0,-35.84,-21.02,-22.47
119,2929.250000,0.0200,28.0,2929.250000,0.0217,28.0,2929.250000,0.0255,28.0,2929.250000,0.0237,28.0,-8.04,-27.41,-18.00
120,2756.996324,0.0250,45.0,2756.996324,0.0203,45.0,2756.996324,0.0247,45.0,2756.996324,0.0233,45.0,18.72,1.01,6.54
121,18938.257353,0.0191,30.0,18938.257353,0.0215,30.0,18938.257353,0.0240,30.0,18938.257353,0.0238,30.0,-13.00,-25.96,-24.71
