tm_index,cold_target,cold_solve_time,cold_iterations,minhop_target,minhop_solve_time,minhop_iterations,loadbalance_target,loadbalance_solve_time,loadbalance_iterations,greedyqos_target,greedyqos_solve_time,greedyqos_iterations,minhop_improvement_pct,loadbalance_improvement_pct,greedyqos_improvement_pct
216,13465.283088,0.0978,3.0,13465.283088,0.1085,3.0,13465.283088,0.1129,3.0,13465.283088,0.1156,3.0,-10.86,-15.37,-18.19
217,16681.540441,0.1091,3.0,16681.540441,0.1128,3.0,16681.540441,0.1161,3.0,16681.540441,0.1126,3.0,-3.40,-6.39,-3.17
218,28403.867647,0.0999,3.0,28403.867647,0.1135,3.0,28403.867647,0.1151,3.0,28403.867647,0.1164,3.0,-13.61,-15.20,-16.55
219,14704.040441,0.1141,3.0,14704.040441,0.1032,3.0,14704.040441,0.1028,3.0,14704.040441,0.1168,3.0,9.48,9.83,-2.39
220,1507.556985,0.0998,4.0,1507.556985,0.1126,4.0,1507.556985,0.1048,4.0,1507.556985,0.1149,4.0,-12.90,-5.07,-15.21
221,26029.452206,0.1044,3.0,26029.452206,0.1146,3.0,26029.452206,0.1109,3.0,26029.452206,0.1158,3.0,-9.77,-6.30,-11.01
222,3036.393382,0.1065,2.0,3036.393382,0.1150,2.0,3036.393382,0.1282,2.0,3036.393382,0.1212,2.0,-8.02,-20.37,-13.75
223,5536.209559,0.1321,3.0,5536.209559,0.1186,3.0,5536.209559,0.1128,3.0,5536.209559,0.1186,3.0,10.22,14.64,10.26
224,19593.893382,0.1037,3.0,19593.893382,0.1157,3.0,19593.893382,0.1129,3.0,19593.893382,0.1237,3.0,-11.63,-8.94,-19.34
225,44734.852941,0.1166,1.0,44734.852941,0.1076,1.0,44734.852941,0.1054,1.0,44734.852941,0.1277,1.0,7.69,9.57,-9.54
226,33686.305147,0.1018,3.0,33686.305147,0.1132,3.0,33686.305147,0.1129,3.0,33686.305147,0.1173,3.0,-11.19,-10.95,-15.29
227,48632.988971,0.1008,2.0,48632.988971,0.1151,2.0,48632.988971,0.1120,2.0,48632.988971,0.1125,2.0,-14.14,-11.05,-11.53
228,25948.194853,0.1020,2.0,25948.194853,0.1119,2.0,25948.194853,0.1124,2.0,25948.194853,0.1201,3.0,-9.75,-10.25,-17.79
229,4868.158088,0.1054,3.0,4868.158088,0.1121,3.0,4868.158088,0.1118,3.0,4868.158088,0.1221,3.0,-6.34,-6.07,-15.84
230,19846.580882,0.1184,2.0,19846.580882,0.1136,2.0,19846.580882,0.1045,2.0,19846.580882,0.1064,2.0,4.00,11.74,10.08
