tm_index,cold_target,cold_solve_time,cold_iterations,minhop_target,minhop_solve_time,minhop_iterations,loadbalance_target,loadbalance_solve_time,loadbalance_iterations,greedyqos_target,greedyqos_solve_time,greedyqos_iterations,minhop_improvement_pct,loadbalance_improvement_pct,greedyqos_improvement_pct
0,10394.838235,0.0258,2.0,10394.838235,0.0248,2.0,10394.838235,0.0212,2.0,10394.838235,0.0256,2.0,4.05,17.81,0.87
1,11130.588235,0.0279,23.0,11130.588235,0.0230,23.0,11130.588235,0.0210,23.0,11130.588235,0.0219,23.0,17.30,24.77,21.51
2,4858.797794,0.0203,45.0,4858.797794,0.0250,45.0,4858.797794,0.0211,45.0,4858.797794,0.0233,45.0,-23.05,-4.08,-14.79
3,6225.617647,0.0213,46.0,6225.617647,0.0259,46.0,6225.617647,0.0231,46.0,6225.617647,0.0250,46.0,-21.63,-8.59,-17.31
4,13193.426471,0.0217,29.0,13193.426471,0.0254,29.0,13193.426471,0.0238,29.0,13193.426471,0.0225,29.0,-17.07,-9.77,-3.91
5,9517.834559,0.0197,2.0,9517.834559,0.0267,2.0,9517.834559,0.0250,2.0,9517.834559,0.0223,2.0,-35.55,-26.58,-13.32
6,23372.713235,0.0224,7.0,23372.713235,0.0218,7.0,23372.713235,0.0218,7.0,23372.713235,0.0242,7.0,2.66,2.67,-7.87
7,13099.970588,0.0243,23.0,13099.970588,0.0205,23.0,13099.970588,0.0219,23.0,13099.970588,0.0241,23.0,15.96,9.96,0.89
8,12168.830882,0.0231,5.0,12168.830882,0.0212,5.0,12168.830882,0.0204,5.0,12168.830882,0.0218,5.0,8.52,11.78,5.76
9,12288.003676,0.0197,22.0,12288.003676,0.0214,22.0,12288.003676,0.0203,22.0,12288.003676,0.0250,22.0,-8.75,-2.81,-26.62
10,17221.036765,0.0235,33.0,17221.036765,0.0222,33.0,17221.036765,0.0219,33.0,17221.036765,0.0323,33.0,5.54,6.73,-37.44
11,12962.985294,0.0208,23.0,12962.985294,0.0216,23.0,12962.985294,0.0222,23.0,12962.985294,0.0240,23.0,-3.64,-6.61,-15.12
12,2854.253676,0.0298,32.0,2854.253676,0.0210,32.0,2854.253676,0.0209,32.0,2854.253676,0.0268,32.0,29.60,29.72,10.06
13,146220.613971,0.0222,3.0,146220.613971,0.0208,3.0,146220.613971,0.0218,3.0,146220.613971,0.0228,3.0,6.48,1.71,-2.60
14,11691.996324,0.0232,29.0,11691.996324,0.0238,29.0,11691.996324,0.0226,29.0,11691.996324,0.0239,29.0,-2.58,2.58,-2.96
15,10343.617647,0.0300,24.0,10343.617647,0.0267,24.0,10343.617647,0.0220,24.0,10343.617647,0.0218,24.0,11.14,26.58,27.41
16,28262.334559,0.0219,29.0,28262.334559,0.0229,29.0,28262.334559,0.0286,29.0,28262.334559,0.0242,29.0,-4.67,-30.41,-10.62
17,18331.323529,0.0206,21.0,18331.323529,0.0222,21.0,18331.323529,0.0227,21.0,18331.323529,0.0237,21.0,-7.46,-9.86,-14.79
18,10604.352941,0.0203,38.0,10604.352941,0.0217,38.0,10604.352941,0.0238,38.0,10604.352941,0.0307,38.0,-7.14,-17.62,-51.57
19,2355.683824,0.0230,27.0,2355.683824,0.0217,27.0,2355.683824,0.0200,27.0,2355.683824,0.0253,27.0,5.52,12.80,-10.28
20,24193.889706,0.0290,28.0,24193.889706,0.0230,28.0,24193.889706,0.0257,28.0,24193.889706,0.0239,28.0,20.55,11.13,17.38
21,15334.761029,0.0234,28.0,15334.761029,0.0199,28.0,15334.761029,0.0221,28.0,15334.761029,0.0252,28.0,14.63,5.24,-8.02
22,2785.558824,0.0217,17.0,2785.558824,0.0249,17.0,2785.558824,0.0208,17.0,2785.558824,0.0327,17.0,-14.61,4.19,-50.43
23,19026.705882,0.0265,35.0,19026.705882,0.0264,35.0,19026.705882,0.0227,35.0,19026.705882,0.0234,35.0,0.45,14.12,11.46
24,2905.113971,0.0269,42.0,2905.113971,0.0231,42.0,2905.113971,0.0221,42.0,2905.113971,0.0267,42.0,14.18,17.77,0.50
25,37594.577206,0.0221,6.0,37594.577206,0.0251,6.0,37594.577206,0.0220,6.0,37594.577206,0.0280,6.0,-13.87,0.39,-27.06
26,9461.297794,0.0193,3.0,9461.297794,0.0223,3.0,9461.297794,0.0206,3.0,9461.297794,0.0252,3.0,-15.54,-6.83,-30.64
27,15446.915441,0.0229,32.0,15446.915441,0.0238,32.0,15446.915441,0.0221,32.0,15446.915441,0.0235,32.0,-4.01,3.41,-2.86
28,4535.040441,0.0201,40.0,4535.040441,0.0213,40.0,4535.040441,0.0237,40.0,4535.040441,0.0262,40.0,-6.21,-18.17,-30.45
29,2267.558824,0.0201,35.0,2267.558824,0.0288,35.0,2267.558824,0.0302,35.0,2267.558824,0.0251,35.0,-43.34,-50.21,-24.86
30,14540.562500,0.0204,31.0,14540.562500,0.0222,31.0,14540.562500,0.0221,31.0,14540.562500,0.0228,31.0,-8.54,-8.53,-11.93
31,22865.790441,0.0206,3.0,22865.790441,0.0216,3.0,22865.790441,0.0234,3.0,22865.790441,0.0321,3.0,-5.01,-13.71,-55.76
32,1546.937500,0.0213,42.0,1546.937500,0.0238,42.0,1546.937500,0.0261,42.0,1546.937500,0.0254,42.0,-11.64,-22.57,-19.03
33,13290.797794,0.0240,3.0,13290.797794,0.0202,3.0,13290.797794,0.0217,3.0,13290.797794,0.0246,3.0,15.79,9.62,-2.28
34,4529.095588,0.0237,39.0,4529.095588,0.0241,39.0,4529.095588,0.0247,39.0,4529.095588,0.0268,39.0,-1.43,-4.12,-13.13
35,14799.746324,0.0207,32.0,14799.746324,0.0223,32.0,14799.746324,0.0227,32.0,14799.746324,0.0312,32.0,-7.81,-9.93,-50.92
36,24567.841912,0.0300,26.0,24567.841912,0.0217,26.0,24567.841912,0.0233,26.0,24567.841912,0.0247,26.0,27.57,22.12,17.61
37,20115.863971,0.0214,25.0,20115.863971,0.0211,25.0,20115.863971,0.0242,25.0,20115.863971,0.0317,25.0,1.03,-13.25,-48.33
38,12587.279412,0.0223,30.0,12587.279412,0.0207,30.0,12587.279412,0.0220,30.0,12587.279412,0.0313,30.0,7.40,1.26,-40.34
